epoch,pid,host_cpu_pct,rss_kb,vsz_kb,cpu_time,elapsed_time
1780139951,60285,540.8,1330928,439795840,13:54.54,03:12
1780139952,60285,474.9,1413648,439795840,13:59.60,03:13
1780139953,60285,430.8,1458864,439795840,14:03.65,03:14
1780139954,60285,357.2,1445232,439795840,14:07.25,03:15
1780139955,60285,534.6,1468992,439795840,14:12.34,03:16
1780139956,60285,544.5,1430000,439795840,14:17.96,03:17
1780139957,60285,564.3,1442352,439795840,14:23.97,03:18
1780139958,60285,473.6,1459920,439795840,14:28.68,03:19
1780139959,60285,384.0,1493296,439795840,14:32.64,03:20
1780139960,60285,273.4,1528864,439795840,14:36.23,03:21
1780139961,60285,336.1,1506032,439795840,14:39.22,03:22
1780139962,60285,397.6,1537504,439795840,14:42.96,03:23
1780139963,60285,482.7,1509440,439795840,14:48.20,03:24
1780139964,60285,467.4,1523728,439795840,14:52.88,03:25
1780139965,60285,475.5,1427184,439795840,14:57.81,03:26
1780139966,60285,453.3,1316016,439795840,15:02.30,03:27
1780139967,60285,427.6,1317952,439795840,15:06.79,03:28
1780139968,60285,401.0,1339744,439795840,15:11.15,03:29
1780139969,60285,456.7,1361472,439795840,15:15.61,03:30
1780139970,60285,326.4,1396272,439795840,15:19.29,03:31
1780139971,60285,116.2,1369616,439795840,15:20.60,03:32
1780139972,60285,108.8,1407584,439795840,15:21.98,03:33
1780139973,60285,102.4,1407792,439795840,15:23.02,03:34
1780139974,60285,101.5,1422832,439795840,15:24.05,03:35
1780139975,60285,100.1,1406128,439795840,15:25.08,03:36
1780139976,60285,101.2,1434800,439795840,15:26.12,03:37
1780139977,60285,101.8,1392032,439795840,15:27.15,03:38
1780139978,60285,104.0,1488880,439795840,15:28.20,03:39
1780139979,60285,101.3,1513216,439795840,15:29.23,03:40
1780139980,60285,101.6,1523808,439795840,15:30.27,03:41
1780139981,60285,102.9,1485136,439795840,15:31.30,03:42
1780139982,60285,101.3,1478112,439795840,15:32.34,03:43
1780139983,60285,102.5,1386544,439795840,15:33.37,03:44
1780139984,60285,102.5,1383872,439795840,15:34.40,03:45
1780139986,60285,102.4,1404976,439795840,15:35.44,03:47
1780139987,60285,102.3,1382832,439795840,15:36.47,03:48
1780139988,60285,101.5,1369600,439795840,15:37.50,03:49
1780139989,60285,103.0,1423776,439795840,15:38.54,03:50
1780139990,60285,242.7,1460512,439795840,15:40.97,03:51
1780139991,60285,207.0,1516272,439795840,15:43.16,03:52
1780139992,60285,345.9,1554464,439795840,15:46.55,03:53
1780139993,60285,248.1,1559392,439795840,15:49.23,03:54
1780139994,60285,203.4,1563648,439795840,15:51.28,03:55
1780139995,60285,261.3,1569248,439795840,15:53.62,03:56
1780139996,60285,560.1,1580576,439795840,15:59.23,03:57
1780139997,60285,518.5,1661328,439795840,16:04.77,03:58
1780139998,60285,541.0,1662512,439795840,16:10.29,03:59
1780139999,60285,457.3,1307408,439795840,16:14.79,04:00
1780140000,60285,448.9,1044480,439795840,16:19.34,04:01
1780140001,60285,374.4,1074576,439795840,16:23.05,04:02
1780140002,60285,299.1,1109504,439795840,16:26.46,04:03
1780140003,60285,614.6,934816,439795840,16:32.48,04:04
1780140004,60285,586.1,1024832,439795840,16:38.89,04:05
1780140005,60285,271.5,1092000,439795840,16:41.66,04:06
1780140006,60285,458.4,1097648,439795840,16:45.91,04:07
1780140007,60285,322.7,1103696,439795840,16:49.36,04:08
1780140008,60285,544.6,1032672,439795840,16:54.65,04:09
1780140009,60285,557.6,968544,439795840,17:00.30,04:10
1780140010,60285,481.1,969328,439795840,17:05.24,04:11
1780140011,60285,408.1,969920,439795840,17:09.21,04:12
1780140012,60285,522.0,964784,439795840,17:14.47,04:13
1780140013,60285,550.8,955456,439795840,17:20.25,04:14
1780140014,60285,644.1,947920,439795840,17:26.82,04:15
1780140015,60285,455.2,1062992,439795840,17:31.18,04:16
1780140016,60285,482.5,1100816,439795840,17:35.84,04:17
1780140017,60285,572.6,1127456,439795840,17:41.18,04:18
1780140018,60285,450.6,1122320,439795840,17:45.62,04:19
1780140019,60285,473.6,1128224,439795840,17:50.40,04:20
1780140020,60285,474.5,1132384,439795840,17:55.19,04:21
1780140021,60285,359.3,1136592,439795840,17:58.85,04:22
1780140022,60285,427.5,1137760,439795840,18:02.83,04:23
1780140023,60285,552.4,1137200,439795840,18:08.29,04:24
1780140024,60285,652.7,1137408,439795840,18:14.88,04:25
1780140025,60285,561.8,1138112,439795840,18:20.48,04:26
1780140026,60285,428.9,1021280,439795840,18:25.12,04:27
1780140027,60285,448.5,884704,439795840,18:29.72,04:28
1780140028,60285,549.4,947552,439795840,18:34.95,04:29
1780140029,60285,533.6,1025872,439795840,18:40.41,04:30
1780140030,60285,561.0,1045776,439795840,18:46.09,04:31
1780140031,60285,548.6,1059936,439795840,18:51.71,04:32
1780140032,60285,467.2,1097296,439795840,18:56.82,04:33
1780140033,60285,402.4,1098928,439795840,19:01.15,04:34
1780140034,60285,399.4,1106400,439796400,19:05.72,04:35
1780140035,60285,471.6,1130896,439796400,19:10.56,04:36
1780140036,60285,367.0,1133792,439796400,19:14.47,04:37
1780140037,60285,314.2,1132976,439796400,19:17.62,04:38
1780140038,60285,473.3,1112016,439796400,19:22.50,04:39
1780140039,60285,551.1,1091712,439796400,19:27.80,04:40
1780140040,60285,522.5,1101968,439796400,19:32.72,04:41
1780140041,60285,516.4,1105232,439796400,19:38.47,04:42
1780140042,60285,470.8,1096480,439796400,19:43.21,04:43
1780140043,60285,474.6,1064960,439796400,19:47.97,04:44
1780140044,60285,319.3,1074464,439796400,19:51.62,04:45
1780140045,60285,379.8,1074352,439796400,19:55.73,04:46
1780140046,60285,135.7,1083440,439796400,19:57.53,04:47
1780140047,60285,127.6,1089680,439796400,19:58.82,04:48
1780140048,60285,105.5,1088672,439796400,19:59.89,04:49
1780140049,60285,103.1,1087232,439796400,20:00.95,04:50
1780140050,60285,106.5,1109008,439796400,20:02.01,04:51
1780140051,60285,300.0,1171440,439796400,20:04.33,04:52
1780140052,60285,455.8,1172000,439796400,20:08.68,04:53
1780140053,60285,470.5,1167088,439796400,20:13.39,04:54
1780140054,60285,473.5,1175392,439796400,20:18.12,04:55
1780140055,60285,509.6,1178656,439796400,20:22.92,04:56
1780140056,60285,241.3,1179600,439796400,20:26.02,04:57
1780140057,60285,391.5,1181456,439796400,20:30.18,04:58
1780140058,60285,341.5,1181040,439796400,20:33.64,04:59
1780140059,60285,281.3,1170784,439796400,20:36.76,05:00
1780140060,60285,356.8,1134800,439796400,20:40.27,05:01
1780140061,60285,370.4,1125648,439796400,20:44.09,05:02
1780140062,60285,614.9,1127840,439796400,20:50.03,05:03
1780140063,60285,636.7,1117744,439796400,20:56.44,05:04
1780140064,60285,574.3,1158624,439796400,21:02.33,05:05
1780140065,60285,655.4,1162752,439796400,21:08.90,05:06
1780140066,60285,572.0,1165904,439796400,21:14.65,05:07
1780140067,60285,553.7,1149248,439796400,21:20.00,05:08
1780140069,60285,587.9,1115136,439796400,21:25.82,05:10
1780140070,60285,659.8,1125152,439796400,21:32.54,05:11
1780140071,60285,563.6,1126624,439796400,21:38.49,05:12
1780140072,60285,532.5,1131008,439796400,21:43.56,05:13
1780140073,60285,475.8,1079248,439796400,21:48.30,05:14
1780140074,60285,567.2,1083648,439796400,21:54.08,05:15
1780140075,60285,534.0,1075392,439796400,21:59.72,05:16
1780140076,60285,525.4,1119200,439796400,22:05.31,05:17
1780140077,60285,371.4,1186704,439796400,22:09.53,05:18
1780140078,60285,588.6,1195568,439796400,22:14.45,05:19
1780140079,60285,571.3,1209248,439796400,22:20.23,05:20
1780140080,60285,570.2,1214976,439796400,22:26.02,05:21
1780140081,60285,541.6,1220048,439796400,22:31.40,05:22
1780140082,60285,567.1,1222624,439796400,22:37.15,05:23
1780140083,60285,383.8,1209264,439796400,22:41.49,05:24
1780140084,60285,447.6,1205744,439796400,22:45.64,05:25
